Generic Name,Trade Name,Date Designated,Orphan Designation,Orphan Designation Status,Date Designation Withdrawn or Revoked,FDA Orphan Approval Status,Approved Labeled Indication,Marketing Approval Date,Exclusivity End Date,"Exclusivity Protected Indication * (Shown for approvals from Jan. 1, 2013, to the present)",Sponsor Company,Sponsor Address 1,Sponsor Address 2,Sponsor City,Sponsor State,Sponsor Zip,Sponsor Country,CF Grid Key
daratumumab,Darzalex,2013-05-06,Treatment of multiple myeloma,Designated/Approved,,,For the treatment of patients with multiple myeloma who have received at least 3 prior lines of therapy including a proteasome inhibitor and an immunomodulatory agent or are double refractory to a proteasome inhibitor and an immunomodulatory agent,2015-11-16,2022-11-16,For the treatment of patients with multiple myeloma who have received at least 3 prior lines of therapy including a proteasome inhibitor and an immunomodulatory agent or are double refractory to a proteasome inhibitor and an immunomodulatory agent,"Janssen Biotech, Inc.",920 Route 202 South,PO Box 300,Raritan,New Jersey,' 08869 ' ,United States,397113.0
daratumumab and hyaluronidase-fihj,Darzalex Faspro,2020-10-06,treatment of light-chain (AL) amyloidosis,Designated/Approved,,,"in combination with bortezomib, cyclophosphamide and dexamethasone for the treatment of adult patients with newly diagnosed light chain (AL) amyloidosis",2021-01-15,2028-01-15,treatment of adult patients with newly diagnosed light chain (AL) amyloidosis,"Janssen Research & Development, LLC",1400 McKean Road,PO Box 776,Spring House,Pennsylvania,' 19477 ' ,United States,769220.0
dasatinib,Sprycel,2005-11-28,Treatment of chronic myelogenous leukemia,Designated/Approved,,,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase,2017-11-09,2024-11-09,Treatment of pediatric patients with Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase,Bristol-Myers Squibb Company,"3401 Princeton Pike, B-3043C",,Lawrence Township,New Jersey,' 08648 ' ,United States,212405.0
Dasatinib,Sprycel,2005-11-18,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy.,2018-12-21,2025-12-21,SPRYCEL (dasatinib) is indicated for the treatment of pediatric patients 1 year of age and older with newly diagnosed Ph+ ALL in combination with chemotherapy.,Bristol-Myers Squibb Company,P. O Box 5326,Mailstop C 4065,Princeton,New Jersey,' 08542 ' ,United States,214605.0
dasatinib,Phyrago,2021-10-05,Treatment of acute lymphoblastic leukemia,Designated/Approved,,,treatment of adult patients with Philadelphia chromosome-positive acute lymphoblastic leukemia (Ph+ ALL) with resistance or intolerance to prior therapy,2023-12-05,,,"Handa Therapeutics, LLC","2025 Gateway Place, Suite 480",,"San Jose,",California,' 95110 ' ,United States,750520.0
Dasatinib,Sprycel,2005-11-18,Treatment of Philadelphia-positive acute lymphoblastic leukemia,Designated/Approved,,,Treatment of adults with Philadelphia chromosome-positive acute lymphoblastic leukemia with resistance or intolerance to prior therapy,2006-06-28,2013-06-28,,Bristol-Myers Squibb Company,P. O Box 5326,Mailstop C 4065,Princeton,New Jersey,' 08542 ' ,United States,214605.0
dasatinib,Phyrago,2021-10-05,Treatment of chronic myelogenous leukemia,Designated/Approved,,,"treatment of adult patients with: newly diagnosed Philadelphia chromosome-positive (Ph+) chronic myeloid leukemia (CML) in chronic phase; or chronic, accelerated, or myeloid or lymphoid blast phase Ph+ CML with resistance or intolerance to prior therapy including imatinib",2023-12-05,,,"Handa Therapeutics, LLC","2025 Gateway Place, Suite 480",,"San Jose,",California,' 95110 ' ,United States,750420.0
dasatinib,Sprycel,2005-11-28,Treatment of chronic myelogenous leukemia,Designated/Approved,,,Treatment of adults with chronic myeloid leukemia with resistance or intolerance to prior therapy including imatinib,2006-06-28,2013-06-28,,Bristol-Myers Squibb Company,"3401 Princeton Pike, B-3043C",,Lawrence Township,New Jersey,' 08648 ' ,United States,212405.0
Daunorubicin citrate liposome injection,DaunoXome,1993-05-14,Treatment of patients with advanced HIV-associated Kaposi's sarcoma.,Designated/Approved,,,"First line cytotoxic therapy for advanced, HIV related Kaposi's sarcoma.",1996-04-08,2003-04-08,,"NeXstar Pharmaceuticals, Inc.",650 Cliffside Drive,,San Dimas,California,' 91773 ' ,United States,73693.0
daxibotulinumtoxinA-lanm,Daxxify,2017-11-16,Treatment of cervical dystonia,Designated/Approved,,,treatment of cervical dystonia in adult patients,2023-08-11,,,"Revance Therapeutics, Inc.",7555 Gateway Boulevard,,Newark,California,' 94560 ' ,United States,579317.0
decitabine,Dacogen,1999-03-08,Treatment of myelodysplastic syndromes.,Designated/Approved,,,"for treatment of patients with myelodysplastic syndromes (MDS) including previously treated and untreated, de novo and secondary MDS of all French-American-British subtypes (refractory anemia, refractory anemia with ringed sideroblasts, refractory anemia with excess blasts, refractory anemia with excess blasts in transformation, and chronic myelomonocytic leukemia) and intermediate-1, intermediate-2, and high-risk International Prognostic Scoring System groups",2006-05-02,2013-05-02,,Otsuka Pharmaceutical Development,"and Commercialization, Inc.",508 Carnegie Center Drive,Princeton,New Jersey,' 08540 ' ,United States,122298.0
deferasirox,Exjade; Jadenu Sprinkles,2015-02-24,Treatment of chronic iron overload in alpha-thalassemia,Designated/Approved,,,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion-dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and a serum ferritin greater than 300 mcg/L.,2017-05-18,,,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,354411.0
Deferasirox,Exjade; Jadenu Sprinkles,2002-11-21,Treatment of chronic iron overload in patients with transfusion-dependent anemias,Designated/Approved,,,Treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age or older,2005-11-02,2012-11-02,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Hampshire,' 07936 ' ,United States,161002.0
Deferasirox,Exjade; Jadenu Sprinkles,2002-11-21,Treatment of chronic iron overload in patients with transfusion-dependent anemias,Designated/Approved,,,treatment of chronic iron overload due to blood transfusions (transfusional hemosiderosis) in patients 2 years of age and older,2017-05-18,,,Novartis Pharmaceuticals Corp.,One Health Plaza,,East Hanover,New Hampshire,' 07936 ' ,United States,161002.0
deferasirox,Exjade; Jadenu Sprinkles,2015-02-24,Treatment of chronic iron overload in alpha-thalassemia,Designated/Approved,,,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and serum ferritin greater than 300 mcg/L.,2013-01-23,2020-01-23,Treatment of chronic iron overload in patients 10 years of age and older with non-transfusion dependent thalassemia (NTDT) syndromes and with a liver iron concentration (LIC) of at least 5 milligrams of iron per gram of liver dry weight (mg Fe/g dw) and serum ferritin greater than 300 mcg/L.,Novartis Pharmaceuticals Corporation,One Health Plaza,,East Hanover,New Jersey,' 07936 ' ,United States,354411.0
deferiprone,Ferriprox,2001-12-12,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,Treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate,2011-10-14,2018-10-14,,"Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,' 27518 ' ,United States,150701.0
deferiprone,Ferriprox,2001-12-12,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,treatment of transfusional iron overload in adult and pediatric patients 8 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 8 years of age and older with sickle cell disease or other anemias,2021-04-30,2028-04-30,"treatment of transfusional iron overload in adult patients with thalassemia syndromes excluding adult patients covered by the indication for thalassemia syndromes approved on October 14, 2011; treatment of transfusional iron overload in pediatric patients 8 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 8 years of age and older with sickle cell disease or other anemias","Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,' 27518 ' ,United States,150701.0
deferiprone,Ferriprox,2001-12-12,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,treatment of transfusional iron overload in adult and pediatric patients 3 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 3 years of age and older with sickle cell disease or other anemias,2021-04-30,2028-04-30,"treatment of transfusional iron overload in adult patients with thalassemia syndromes excluding adult patients covered by the indication for thalassemia syndromes approved on October 14, 2011; treatment of transfusional iron overload in pediatric patients 3 years of age and older with thalassemia syndromes; and treatment of transfusional iron overload in adult and pediatric patients 3 years of age and older with sickle cell disease or other anemias","Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,' 27518 ' ,United States,150701.0
deferiprone,Ferriprox,2001-12-12,Treatment of iron overload in patients with hematologic disorders requiring chronic transfusion therapy,Designated/Approved,,,Ferriprox (deferiprone) is indicated for the treatment of patients with transfusional iron overload due to thalassemia syndromes when current chelation therapy is inadequate.,2020-05-19,,,"Chiesi USA, Inc.",175 Regency Woods Place,Suite 600,Cary,North Carolina,' 27518 ' ,United States,150701.0
defibrotide,Defitelio,2003-05-21,For the treatment of hepatic veno-occlusive disease,Designated/Approved,,,"For the treatment of adult and pediatric patients with hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem cell transplantation (HSCT).",2016-03-30,2023-03-30,"For the treatment of adult and pediatric patients with hepatic veno-occlusive disease (VOD), also known as sinusoidal obstruction syndrome (SOS), with renal or pulmonary dysfunction following hematopoietic stem cell transplantation (HSCT).","Jazz Pharmaceuticals, Inc.",3180 Porter Drive,,Palo Alto,California,' 94304 ' ,United States,168803.0
deflazacort,Emflaza,2013-08-16,Treatment of Duchenne muscular dystrophy,Designated/Approved,,,Treatment of Duchenne Muscular Dystrophy in patients 5 years of age and older,2017-02-09,2024-02-09,Treatment of Duchenne Muscular Dystrophy in patients 5 years of age and older,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,' 07080 ' ,United States,403413.0
deflazacort,Emflaza,2013-08-16,Treatment of Duchenne muscular dystrophy,Designated/Approved,,,EMFLAZA is indicated for the treatment of Duchenne muscular dystrophy (DMD) in patients 2 years of age and older.,2019-06-07,2026-06-07,For the treatment of Duchene muscular dystrophy in patients 2 years of age to less than 5 years of age,"PTC Therapeutics, Inc.",100 Corporate Court,,South Plainfield,New Jersey,' 07080 ' ,United States,403413.0
dehydrated alcohol,Ablysinol,2013-09-11,Treatment of hypertrophic obstructive cardiomyopathy,Designated/Approved,,,ABLYSINOL® is indicated to induce controlled cardiac septal infarction to improve exercise capacity in adults with symptomatic hypertrophic obstructive cardiomyopathy who are not candidates for surgical myectomy.,2018-06-21,2025-06-21,ABLYSINOL® is indicated to induce controlled cardiac septal infarction to improve exercise capacity in adults with symptomatic hypertrophic obstructive cardiomyopathy who are not candidates for surgical myectomy.,"Belcher Pharmaceuticals, LLC",6911 Bryan Dairy Road,,Largo,Florida,' 33777 ' ,United States,402513.0
delandistrogene moxeparvovec-rokl,Elevidys,2018-06-21,Treatment of Duchenne Muscular Dystrophy,Designated/Approved,,,"treatment of Duchenne muscular dystrophy (DMD) in individuals at least 4 years of age for patients who are ambulatory and have a confirmed mutation in the DMD gene, and for patients who are non-ambulatory and have a confirmed mutation in the DMD gene",2024-06-20,2031-06-20,"treatment of Duchenne muscular dystrophy (DMD) in individuals greater than 5 years of age who are ambulatory and have a confirmed mutation in the DMD gene, and treatment of DMD in individuals at least 4 years of age who are non-ambulatory and have a confirmed mutation in the DMD gene","Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,' 02142 ' ,United States,641318.0
delandistrogene moxeparvovec-rokl,Elevidys,2018-06-21,Treatment of Duchenne Muscular Dystrophy,Designated/Approved,,,treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene,2023-06-22,2030-06-22,treatment of ambulatory pediatric patients aged 4 through 5 years with Duchenne muscular dystrophy (DMD) with a confirmed mutation in the DMD gene,"Sarepta Therapeutics, Inc.",215 First Street,,Cambridge,Massachusetts,' 02142 ' ,United States,641318.0
denileukin diftitox,Ontak,1996-08-21,Treatment of patients with cutaneous T-cell lymphoma,Designated/Approved,,,Treatment of patients with persistent or recurrent cutaneous T-cell lymphoma whose malignant cells express the CD25 component of the IL-2 receptor.,1999-02-05,2006-02-05,,"Eisai, Inc.",300 Tice Boulevard,,Woodcliff Lake,New Jersey,' 07677 ' ,United States,99396.0
denileukin diftitox-cxdl,Lymphir,2013-07-12,Treatment of cutaneous T-cell lymphoma,Designated/Approved,,,treatment of adult patients with relapsed or refractory Stage I-III cutaneous T-cell lymphoma (CTCL) after at least one prior systemic therapy,2024-08-07,,,"Citius Pharmaceuticals, Inc.","11 Commerce Drive, 1st Floor",,Cranford,New Jersey,' 07016 ' ,United States,341311.0
denosumab,XGEVA,2013-09-11,Treatment of hypercalcemia in malignancy,Designated/Approved,,,To treat hypercalcemia of malignancy refractory to biphosphonate therapy.,2014-12-05,2021-12-05,To treat hypercalcemia of malignancy refractory to biphosphonate therapy.,"Amgen, Inc.",One Amgen Center Drive,MS 17-2-C,Thousand Oaks,California,' 91320 ' ,United States,404213.0
denosumab,Xgeva,2010-12-20,Treatment of patients with giant cell tumor of bone,Designated/Approved,,,Treatment of adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.,2013-06-13,2020-06-13,Treatment of adults and skeletally mature adolescents with giant cell tumor of bone that is unresectable or where surgical resection is likely to result in severe morbidity.,"Amgen, Inc.",One Amgen Center Drive,,Thousand Oaks,California,' 91320 ' ,United States,324110.0
Desmopressin acetate,,1991-01-22,Treatment of mild hemophilia A and von Willebrand's disease.,Designated/Approved,,,Treatment of patients with hemophilia A or von Willebrand's disease (type I) whose factor VIII coagulant activity level is greater than 5%.,1994-03-07,2001-03-07,,"Ferring Pharmaceuticals, Inc.",100 Interpace Parkway,,Parsippany-Troy Hills,New Jersey,' 07054 ' ,United States,51490.0
dexamethasone,Hemady,2018-03-26,Treatment of multiple myeloma (MM),Designated/Approved,,,HEMADY is indicated in combination with other anti-myeloma products for the treatment of adults with multiple myeloma,2019-10-03,2026-10-03,Indicated in combination with other anti-myeloma products for the treatment of adults with multiple myeloma (MM).,Dexcel Pharma Technologies Ltd,Dexcel Street,,Or Akiva,Haifa District,' ' ,Israel,626318.0
dexamethasone intravitreal implant,Ozurdex,1998-09-11,"Treatment of non-infectious ocular inflammation of the posterior segment in patients with intermediate, posterior, and panuveitis",Designated/Approved,,,For treatment of non-infectious uveitis affecting the posterior segment of the eye,2010-09-24,2017-09-24,,Allergan,2525 Dupont Drive,,Irvine,California,' 92623 ' ,United States,115298.0
dexrazoxane,Totect(r),2004-03-25,Treatment of anthracycline extravasation during chemotherapy,Designated/Approved,,,Treatment of extravasation resulting from IV anthracycline chemotherapy,2007-09-06,2014-09-06,,"Clinigen, Inc.",790 Township Line Road,Suite 120,Yardley,Pennsylvania,' 19067 ' ,United States,181103.0
Dexrazoxane,Zinecard,1991-12-17,For the prevention of cardiomyopathy associated with doxorubicin administration.,Designated/Approved,,,Cardiomyopathy associated with doxorubicin administration in women with metastatic breast cancer who have received a cumulative dose of 300mg/m2.,1995-05-26,2002-05-26,,Pharmacia & Upjohn,7000 Portage Road,,Kalamazoo,Michigan,' 49001 ' ,United States,63291.0
diazepam (intranasal),VALTOCO,2015-11-16,Management of acute repetitive seizures,Designated/Approved,,,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patient¿s usual seizure pattern in patients with epilepsy 6 years of age and older.",2020-01-10,2027-01-10,"Acute treatment of intermittent, stereotypic episodes of frequent seizure activity (i.e., seizure clusters, acute repetitive seizures) that are distinct from a patient¿s usual seizure pattern in patients with epilepsy 6 years of age and older.","Neurelis Pharmaceuticals, Inc.",11682 El Camino Reall,Suite 255,San Diego,California,' 92130 ' ,United States,382512.0
Diazepam viscous solution for rectal administration,Diastat,1992-02-25,"For the management of selected, refractory, patients with epilepsy, on stable regimens of antiepileptic drugs (AEDs), who require intermittent use of diazepam to control bouts of increased seizure activity.",Designated/Approved,,,,1997-07-29,2004-07-29,,Valeant Pharmaceuticals,3300 Hyland Avenue,,Costa Mesa,California,' 92626 ' ,United States,61591.0
diazoxide choline,Vykat XR,2014-05-13,Treatment of Prader-Willi Syndrome,Designated/Approved,,,treatment of hyperphagia in adults and pediatric patients 4 years of age and older with Prader-Willi syndrome (PWS),2025-03-26,,,"Soleno Therapeutics, Inc.","100 Marine Parkway, Suite 400",,Redwood City,California,' 94065 ' ,United States,428214.0
dichlorphenamide,,2010-09-02,Treatment of primary periodic paralyses,Designated/Approved,,,"Treatment of primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants",2015-08-07,2022-08-07,"Treatment of primary hyperkalemic periodic paralysis, primary hypokalemic period paralysis, and related variants","Xeris Pharmaceuticals, Inc.","180 N La Salle Street, Suite 1600",,Chicago,Illinois,' 60601 ' ,United States,314210.0
Diethylenetriaminepentaacetic acid (DTPA),,2004-04-28,"Treatment of patients with known or suspected internal contamination with plutonium, americium, or curium to increase the rates of elimination.",Designated/Approved,,,"Treatment of internal contamination with plutonium, americium or curium",2004-08-11,2011-08-11,,Hameln Pharmaceuticals gmbh,Langes Feld 13,,Hameln,,' ' ,Germany,186804.0
difluprednate,Durezol,2008-09-30,Treatment of endogenous and traumatic anterior uveitis and panuveitis.,Designated/Approved,,,Treatment of endogenous anterior uveitis,2012-06-13,2019-06-13,,Alcon Pharmaceuticals. Ltd.,Route Des Arsenaux 41,(P.O. Box 61),Fribourg,,' ' ,Switzerland,265608.0
Digoxin immune FAB (Ovine),Digibind,1984-11-01,Treatment of potentially life threatening digitalis intoxication in patients who are refractory to management by conventional therapy.,Designated/Approved,,,,1986-04-22,1993-04-22,,Glaxo Wellcome Inc.,5 Moore Drive,,Research Triangle Park,North Carolina,' 27709 ' ,United States,2584.0
dinutuximab,Unituxin,2010-12-20,Treatment of neuroblastoma,Designated/Approved,,,"For use in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2) and 13-cis-retinoic acid (RA), for the treatment of pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy",2015-03-10,2022-03-10,"For use in combination with granulocyte-macrophage colony-stimulating factor (GM-CSF), interleukin-2 (IL-2) and 13-cis-retinoic acid (RA), for the treatment of pediatric patients with high-risk neuroblastoma who achieve at least a partial response to prior first-line multiagent, multimodality therapy",United Therapeutics Corporation,55 TW Alexander Drive,,Research Triangle Park,North Carolina,' 27709 ' ,United States,324210.0
donislecel-jujn,Lantidra,2017-02-01,Treatment of Brittle Type 1 Diabetes,Designated/Approved,,,treatment of adults with Type 1 diabetes who are unable to approach target HbA1c because of current repeated episodes of severe hypoglycemia despite intensive diabetes management and education (exclusivity waived),2023-06-28,,,CellTrans Inc.,2201 W. Campbell Park Drive,,Chicago,Illinois,' 60612 ' ,United States,549916.0
Dornase alfa,Pulmozyme,1991-01-16,To reduce mucous viscosity and enable the clearance of airway secretions in patients with cystic fibrosis.,Designated/Approved,,,In conjunction with standard therapies in the management of cystic fibrosis patients to reduce the frequency of respiratory infections requiring parenteral antibiotics and to improve pulmonary function.,1993-12-30,2000-12-30,,"Genentech, Inc.",460 Point San Bruno Boulevard,,South San Francisco,California,' 94080 ' ,United States,48090.0
doxorubicin HCL liposome injection,Doxil,2004-12-29,Treatment of multiple myeloma,Designated/Approved,,,For use in combination with bortezomib for the treatment of patients with multiple myeloma who have not previously received bortezomib and have at least one prior therapy.,2007-05-17,2014-05-17,,Johnson & Johnson Pharmaceutical Research & Dev.,"920 US Highway 202, P. O. Box 300",,Raritan,,' 08869 ' ,United States,191704.0
Doxorubicin liposome,Doxil,1998-11-04,Treatment of ovarian cancer.,Designated/Approved,,,"Treatment of metastatic carcinoma of the ovary in patients with disease that is refractory to both paclitaxel- and platinium-based chemotherapy regimens. Refractory disease is defined as disease that has progressed while on treatment, or within 6 months of completing treatment.",1999-06-28,2006-06-28,,Alza Corporation,1550 Plymouth St.,PO Box 7210,Mountain View,California,' 94039 ' ,United States,117398.0
Dronabinol,Marinol,1991-01-15,For the stimulation of appetite and prevention of weight loss in patients with a confirmed diagnosis of AIDS.,Designated/Approved,,,Treatment of anorexia associated with weight loss in patients with AIDS.,1992-12-22,1999-12-22,,"Unimed Pharmaceuticals, Inc.",901 Sawyer Rd.,,Marietta,Georgia,' 30062 ' ,United States,54890.0
droxidopa,NORTHERA,2007-01-17,"Treatment of neurogenic symptomatic orthostatic hypotension in patients with primary autonomic failure, dopamine-beta-hydroxylase deficiency, and nondiabetic autonomic neuropathy.",Designated/Approved,,,"Treatment of orthostatic dizziness, lightheadedness, or the ""feeling that you are about to black out"" in adult patients with symptomatic neurogenic orthostatic hypotension caused by primary autonomic failure (Parkinson's disease, multiple system atrophy, and pure autonomic failure), dopamine beta-hydroxylase deficiency, and non-diabetic autonomic neuropathy.",2014-02-18,2021-02-18,"Treatment of orthostatic dizziness, lightheadedness, or the ""feeling that you are about to black out"" in adult patients with symptomatic neurogenic orthostatic hypotension caused by primary autonomic failure (Parkinson's disease, multiple system atrophy, and pure autonomic failure), dopamine beta-hydroxylase deficiency, and non-diabetic autonomic neuropathy.",Lundbeck LLC,"3530 Toringdon Way, Suite 200",,Charlotte,North Carolina,' 28277 ' ,United States,229506.0
dupilumab,Dupixent,2017-09-05,Treatment of eosinophilic esophagitis,Designated/Approved,,,"treatment of adult and pediatric patients aged 1 year and older, weighing at least 15 kg, with eosinophilic esophagitis (EoE)",2024-01-25,2031-01-25,treatment of pediatric patients aged 1 year and older weighing at least 15 kg who are less than 12 years of age or less than 40 kg in weight with eosinophilic esophagitis (EoE),"Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,' 10591 ' ,United States,599317.0
dupilumab,Dupixent,2017-09-05,Treatment of eosinophilic esophagitis,Designated/Approved,,,"Treatment of adult and pediatric patients aged 12 years and older, weighing at least 40 kg, with eosinophilic esophagitis (EoE)",2022-05-20,2029-05-20,"Treatment of adult and pediatric patients aged 12 years and older, weighing at least 40 kg, with eosinophilic esophagitis (EoE)","Regeneron Pharmaceuticals, Inc.",777 Old Saw Mill River Road,,Tarrytown,New York,' 10591 ' ,United States,599317.0
durvalumab,IMFINZI,2019-07-10,Treatment of small cell lung cancer,Designated/Approved,,,"IMFINZI is indicated for use, in combination with etoposide and either carboplatin or cisplatin, for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).",2020-03-27,2027-03-27,"Indicated in combination with etoposide and either carboplatin or cisplatin, for the first-line treatment of adult patients with extensive-stage small cell lung cancer (ES-SCLC).",AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,' 19803 ' ,United States,691319.0
durvalumab,Imfinzi,2020-01-15,Treatment of hepatocellular carcinoma,Designated/Approved,,,In combination with tremelimumab-actl for the treatment of adult patients with unresectable hepatocellular carcinoma (uHCC),2022-10-21,2029-10-21,treatment of adult patients with unresectable hepatocellular carcinoma (uHCC),AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,' 19803 ' ,United States,721519.0
durvalumab,Imfinzi,2020-12-10,Treatment of biliary tract cancer,Designated/Approved,,,"In combination with gemcitabine and cisplatin, for the treatment of adult patients with locally advanced or metastatic biliary tract cancer (BTC)",2022-09-02,2029-09-02,treatment of adult patients with locally advanced or metastatic biliary tract cancer (BTC),AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,' 19803 ' ,United States,785220.0
durvalumab,Imfinzi,2019-07-10,Treatment of small cell lung cancer,Designated/Approved,,,"as a single agent, for the treatment of adult patients with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT)",2024-12-04,2031-12-04,treatment of adult patients with limited-stage small cell lung cancer (LS-SCLC) whose disease has not progressed following concurrent platinum-based chemotherapy and radiation therapy (cCRT),AstraZeneca Pharmaceuticals LP,1800 Concord Pike,,Wilmington,Delaware,' 19803 ' ,United States,691319.0
duvelisib,COPIKTRA,2013-08-01,Treatment of follicular lymphoma,Designated/Approved,,,Treatment of adult patients with relapsed or refractory follicular lymphoma after at least two prior therapies (Indication withdrawn),2018-09-24,2021-12-17,Treatment of adult patients with relapsed or refractory follicular lymphoma after at least two prior therapies (Indication withdrawn),"Secura Bio, Inc.",1995 Village Center Cir.,Suite 128,Las Vegas,Nevada,' 89134-6360 ' ,United States,399913.0
duvelisib,COPIKTRA,2013-04-15,Treatment of chronic lymphocytic leukemia and small lymphocytic lymphoma,Designated/Approved,,,Treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) after at least two prior therapies,2018-09-24,2025-09-24,Treatment of adult patients with relapsed or refractory chronic lymphocytic leukemia (CLL) or small lymphocytic lymphoma (SLL) after at least two prior therapies,"Secura Bio, Inc.",1995 Village Center Cir.,,Las Vegas,Nevada,' 89134-6360 ' ,United States,394413.0
ecallantide,Kalbitor,2003-02-04,Treatment of angioedema,Designated/Approved,,,Treatment of acute attacks of hereditary angioedema (HAE) in patients 12 years of age and older,2014-03-28,2021-03-28,Treatment of acute attacks of hereditary angioedema (HAE) in patients 12 through 15 years of age.,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,160802.0
ecallantide,Kalbitor,2003-02-04,Treatment of angioedema,Designated/Approved,,,Treatment of acute attacks of hereditary angioedema in patients 16 years of age and older,2009-12-01,2016-12-01,,"Takeda Pharmaceuticals U.S.A., Inc.",500 Kendall Street,,Cambridge,Massachusetts,' 02142 ' ,United States,160802.0
eculizumab,Soliris,2013-06-24,Treatment of neuromyelitis optica,Designated/Approved,,,Soliris is indicated for the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive.,2019-06-27,2026-06-27,For the treatment of neuromyelitis optica spectrum disorder (NMOSD) in adult patients who are anti-aquaporin-4 (AQP4) antibody positive,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,' 02210 ' ,United States,398713.0
eculizumab,Soliris,2009-04-29,Treatment of atypical hemolytic uremic syndrome,Designated/Approved,,,For the treatment of atypical Hemolytic Uremic Syndrome (aHUS),2011-09-23,2018-09-23,,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,' 02210 ' ,United States,279509.0
eculizumab,Soliris,2003-08-20,Treatment of paroxysmal nocturnal hemoglobinuria,Designated/Approved,,,Treatment of paroxysmal nocturnal hemoglobinuria to reduce hemolysis,2007-03-16,2014-03-16,,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,' 02210 ' ,United States,173203.0
eculizumab,Soliris,2014-06-12,Treatment of Myasthenia Gravis,Designated/Approved,,,treatment of generalized myasthenia gravis (gMG) in adult and pediatric patients six years of age and older who are anti-acetylcholine receptor (AChR) antibody positive,2025-02-28,,,"Alexion Pharmaceuticals, Inc.",121 Seaport Boulevard,,Boston,Massachusetts,' 02210 ' ,United States,434214.0
